number,correct_answer
1,D
2,H
3,A
4,F
5,D
6,G
7,A
8,G
9,B
10,F
11,D
12,H
13,B
14,E
15,B
16,G
17,A
18,F
19,A
20,F
21,B
22,G
23,D
24,F
25,A
26,G
27,D
28,E
29,B
30,F
31,D
32,G
33,C
34,E
35,C
36,F
37,D
38,G
39,B
40,G
41,A
42,H
43,B
44,E
45,C
46,E
47,C
48,H
49,A
50,F
51,C
52,H
53,A
54,H
55,B
56,G
57,C
58,250
59,13.5
60,12
61,8
62,7
63,A
64,G
65,A
66,E
67,B
68,F
69,A
70,E
71,D
72,H
73,B
74,G
75,C
76,E
77,C
78,H
79,A
80,G
81,B
82,G
83,C
84,F
85,D
86,F
87,C
88,F
89,B
90,F
91,D
92,G
93,B
94,H
95,A
96,G
97,B
98,G
99,B
100,H
101,A
102,H
103,D
104,G
105,D
106,G
107,B
108,E
109,C
110,E
111,D
112,H
113,C
114,H
